gastos idade tempo expostos sinistros
122407.9 25 5 1592 2449
130563.34 26 5 1772 2450
150664.98 27 5 1884 2346
151887.11 28 5 1919 2775
203525.05 29 5 2096 3265
208672.11 30 5 2156 3015
325059.2 31 5 2218 3387
222339.36 32 5 2026 3019
203500.62 33 5 2004 2789
162314.44 34 5 1888 3112
167757.89 35 5 1737 2579
273735.85 36 5 1736 3091
178709.18 37 5 1512 2271
209072.11 38 5 1520 2431
267810.67 39 5 1276 2537
161270.97 40 5 1308 2141
117054.26 41 5 1223 1856
199352.16 42 5 1116 1939
90414.26 43 5 1004 1885
127852.3 44 5 1012 1692
103592.32 45 5 919 1879
156825.97 46 5 863 1993
220674.22 47 5 957 1815
127805.92 48 5 889 1968
219029.93 49 5 895 2316
120190.61 50 5 796 2068
95858.5 51 5 725 1985
115051.96 52 5 715 1742
287506.24 53 5 645 1775
195187.71 54 5 663 1795
128417.15 55 5 658 1813
100964.24 56 5 549 1368
210090.27 57 5 516 1350
150019.15 58 5 500 1224
75170.46 59 5 370 976
98159.44 60 5 352 775
93184.34 61 5 309 799
144270.65 62 5 257 650
50356.93 63 5 199 581
66329.19 64 5 144 481
39379.72 65 5 134 285
49095.37 66 5 76 203
12702.29 67 5 64 194
7647.28 68 5 42 191
9260.2 69 5 34 122
3763.28 70 5 29 112
1955.95 71 5 14 55
2549.64 72 5 14 34
2130.16 73 5 13 82
5206.36 74 5 6 16
933.22 75 5 8 39
1579.22 76 5 4 25
373.48 77 5 3 19
0 78 5 0 0
410.49 79 5 2 33
168 80 5 3 3
1421.01 81 5 2 43
865.51 82 5 5 16
0 83 5 2 0
1010.66 84 5 3 28
0 85 5 0 0
198.03 86 5 2 1
43249.72 87 5 2 10
17.92 88 5 1 1
0 89 5 0 0
562.17 90 5 1 3
650.09 91 5 1 4
0 92 5 1 0
0 93 5 0 0
0 94 5 1 0
0 95 5 0 0
0 96 5 0 0
0 97 5 0 0
0 98 5 0 0
0 99 5 0 0
0 100 5 0 0
0 101 5 0 0
0 102 5 0 0
0 103 5 0 0
0 104 5 0 0
0 105 5 0 0
238013.83 1 6 1438 1946
97922.18 2 6 1645 1840
185030.99 3 6 1515 1756
344010.54 4 6 1464 1560
91082.62 5 6 1495 1737
85144.01 6 6 1470 1341
48383.42 7 6 1370 1311
56574.55 8 6 1390 1196
46154.12 9 6 1308 1084
50520.4 10 6 1315 1044
96494.59 11 6 1231 1067
68700.82 12 6 1259 1081
52507.02 13 6 1239 1050
50713.58 14 6 1309 981
77048.22 15 6 1202 1200
41054.92 16 6 1160 905
56297.78 17 6 1145 1052
50071.28 18 6 1113 1126
119771.4 19 6 1211 1221
146925.63 20 6 1445 1873
195152.76 21 6 1448 1981
133990.22 22 6 1591 2164
343732.03 23 6 1617 2502
449044.11 24 6 1883 2930
185892.68 25 6 1800 2767
193108.17 26 6 1803 2885
431379.02 27 6 2015 3132
655556.42 28 6 2055 3699
300202.14 29 6 2064 3845
303584.51 30 6 2261 4008
461313.34 31 6 2316 4464
349894.99 32 6 2300 3863
442831.97 33 6 2045 3820
490521.24 34 6 2065 3938
361892.25 35 6 1891 3837
577948.73 36 6 1740 3933
342810.28 37 6 1703 3045
292886.56 38 6 1474 2456
375464.33 39 6 1507 2910
222513.28 40 6 1247 2524
169916.9 41 6 1276 2552
138419.48 42 6 1200 2330
270745.05 43 6 1064 2129
307553.23 44 6 1024 1978
174058.49 45 6 971 2051
173857.31 46 6 913 2155
195583.66 47 6 856 1963
205405.77 48 6 886 2295
237589.33 49 6 902 2564
222174.38 50 6 901 2457
190422.64 51 6 826 2363
204010.76 52 6 732 1893
121105.64 53 6 696 1750
141387.52 54 6 678 1609
194942.68 55 6 685 1573
109537.97 56 6 637 1630
148638.02 57 6 544 1844
265485.69 58 6 526 1634
142335.89 59 6 488 1668
172006.55 60 6 353 1324
62058.07 61 6 350 967
97964.84 62 6 312 931
